Ward,Primary Type,Count
21,CRIM SEXUAL ASSAULT        ,809
21,CRIMINAL DAMAGE    ,23058
21,CRIMINAL SEXUAL ASSAULT    ,100
21,CRIMINAL TRESPASS  ,5657
21,DECEPTIVE PRACTICE ,8847
21,GAMBLING   ,448
21,HOMICIDE   ,409
21,HUMAN TRAFFICKING  ,2
21,INTERFERENCE WITH PUBLIC OFFICER   ,633
21,INTIMIDATION       ,88
21,KIDNAPPING ,238
21,LIQUOR LAW VIOLATION       ,170
21,MOTOR VEHICLE THEFT        ,10229
21,NARCOTICS  ,19711
21,NON-CRIMINAL       ,2
21,OBSCENITY  ,12
21,OFFENSE INVOLVING CHILDREN ,1784
21,OTHER NARCOTIC VIOLATION   ,1
21,OTHER OFFENSE      ,13262
21,PROSTITUTION       ,528
21,PUBLIC INDECENCY   ,5
21,PUBLIC PEACE VIOLATION     ,1261
21,RITUALISM  ,1
21,ROBBERY    ,9277
21,SEX OFFENSE        ,643
21,STALKING   ,128
21,THEFT      ,39907
21,WEAPONS VIOLATION  ,3459
22,ARSON      ,238
22,ASSAULT    ,5531
22,BATTERY    ,16203
22,BURGLARY   ,3636
22,CONCEALED CARRY LICENSE VIOLATION  ,12
22,CRIM SEXUAL ASSAULT        ,342
22,CRIMINAL DAMAGE    ,9463
22,CRIMINAL SEXUAL ASSAULT    ,62
22,CRIMINAL TRESPASS  ,1140
22,DECEPTIVE PRACTICE ,2147
22,GAMBLING   ,59
22,HOMICIDE   ,260
22,INTERFERENCE WITH PUBLIC OFFICER   ,142
22,INTIMIDATION       ,67
22,KIDNAPPING ,79
22,LIQUOR LAW VIOLATION       ,541
22,MOTOR VEHICLE THEFT        ,5022
22,NARCOTICS  ,7171
22,NON-CRIMINAL       ,2
22,OBSCENITY  ,14
22,OFFENSE INVOLVING CHILDREN ,850
22,OTHER OFFENSE      ,6292
22,PROSTITUTION       ,390
22,PUBLIC INDECENCY   ,3
22,PUBLIC PEACE VIOLATION     ,1719
22,ROBBERY    ,3559
22,SEX OFFENSE        ,477
22,STALKING   ,52
22,THEFT      ,12521
22,WEAPONS VIOLATION  ,1456
23,ARSON      ,179
23,ASSAULT    ,4826
23,BATTERY    ,12068
23,BURGLARY   ,6350
23,CONCEALED CARRY LICENSE VIOLATION  ,67
23,CRIM SEXUAL ASSAULT        ,271
23,CRIMINAL DAMAGE    ,14376
23,CRIMINAL SEXUAL ASSAULT    ,41
23,CRIMINAL TRESPASS  ,1947
23,DECEPTIVE PRACTICE ,5464
23,GAMBLING   ,52
23,HOMICIDE   ,85
23,INTERFERENCE WITH PUBLIC OFFICER   ,113
23,INTIMIDATION       ,49
23,KIDNAPPING ,94
23,LIQUOR LAW VIOLATION       ,160
23,MOTOR VEHICLE THEFT        ,4516
23,NARCOTICS  ,4681
23,NON - CRIMINAL     ,1
23,NON-CRIMINAL       ,6
23,OBSCENITY  ,12
23,OFFENSE INVOLVING CHILDREN ,692
23,OTHER NARCOTIC VIOLATION   ,1
23,OTHER OFFENSE      ,5748
23,PROSTITUTION       ,3031
23,PUBLIC INDECENCY   ,5
23,PUBLIC PEACE VIOLATION     ,646
23,ROBBERY    ,2353
23,SEX OFFENSE        ,394
23,STALKING   ,58
23,THEFT      ,18294
23,WEAPONS VIOLATION  ,804
24,ARSON      ,494
24,ASSAULT    ,17126
24,BATTERY    ,56587
24,BURGLARY   ,9663
24,CONCEALED CARRY LICENSE VIOLATION  ,46
24,CRIM SEXUAL ASSAULT        ,971
24,CRIMINAL DAMAGE    ,24700
24,CRIMINAL SEXUAL ASSAULT    ,151
24,CRIMINAL TRESPASS  ,4994
24,DECEPTIVE PRACTICE ,5829
24,GAMBLING   ,1239
24,HOMICIDE   ,689
24,HUMAN TRAFFICKING  ,3
24,INTERFERENCE WITH PUBLIC OFFICER   ,996
24,INTIMIDATION       ,135
